,artikelnummer,bauweise,boden_und_zargen,bünde,cutaway,decke,erhältlich_seit,farbe,griffbrett,hersteller,inkl_gigbag,inkl_koffer,koffer,modell,preis,sattelbreite_in_mm,tonabnehmer,verkaufseinheit,verkaufsrang
150,260401,,Sapele,20,Nein,Sapele,März 2011,Natur,Richlite,Martin Guitars,Nein,,Ja,Martin Guitars DRS1,998.0,"43,30 mm",Ja,1 Stück,25394
151,359681,,"Mahagoni, Massiv",20,Ja,"Zeder, massiv",März 2015,Natur,Ovangkol,Harley Benton,Nein,,Nein,Harley Benton CLD-30SCM-CE SolidWood B-Stock,305.0,"45,00 mm",Ja,1 Stück,98707
152,460718,,Mahagoni,20,Ja,Mahagoni,,Vintage Sunburst,Ovangkol,Harley Benton,Nein,,Nein,Harley Benton Custom Line CLD-15MCE VS,209.0,"43,00 mm",Ja,1 Stück,93357
153,436816,,Linde,20,Ja,Fichte,Juli 2018,"Sunburst, Hochglanz",Walnuss,Fender,Nein,,Nein,Fender FA-125CE SB,155.0,"43,00 mm",Ja,1 Stück,7473
154,189200,,Palisander,20,Ja,Fichte,Mai 2010,Natur,Ebenholz,Lakewood,Nein,,Ja,Lakewood D-32 CP,2795.0,"44,00 mm",Ja,1 Stück,39214
155,461217,,Mahagoni,20,Nein,Sitka Fichte massiv,März 2019,Vintage Sunburst,Palisander,Gibson,Nein,,Ja,Gibson Hummingbird VS 2019,3298.0,"43,80 mm",Ja,1 Stück,4598
156,461137,,Mahagoni,20,Ja,"Mahagoni, massiv",,Natur,Pau Ferro,Harley Benton,Nein,,Nein,Harley Benton CLD-40SM-CE SolidWood,399.0,"44,50 mm",Ja,1 Stück,86477
157,454012,,Mahagoni,20,Ja,"Zeder, massiv",Dezember 2018,Natur,Tech Wood,Tanglewood,Nein,,Nein,Tanglewood TW10 E,369.0,"43,00 mm",Ja,1 Stück,40916
158,404786,,Ovangkol,20,Ja,"Mahagoni, massiv",Februar 2017,Natur,Walnuss,Fender,Nein,,Ja,Fender CD-140SCE All Mah,345.0,"43,00 mm",Ja,1 Stück,79183
159,452591,,Palisander,20,Ja,"Fichte, Massiv",November 2018,Rosewood Burst,Richlite,Gibson,Nein,,Ja,Gibson Hummingbird Rosewood Avant RB 2019,2298.0,"43,00 mm",Ja,1 Stück,82280
160,456138,,Mahagoni,20,Ja,Fichte,,Blau,Roseacer,Harley Benton,Nein,,Nein,Harley Benton D-120CE TBS,74.0,"42,50 mm",Ja,1 Stück,90804
161,454010,,Mahagoni,20,Ja,"Fichte, Massiv",Dezember 2018,Whiskey Barrel Burst Satin,Tech Wood,Tanglewood,Nein,,Nein,Tanglewood TW5 E WB,359.0,"43,00 mm",Ja,1 Stück,42088
162,462417,,Kirsche,21,Nein,"Fichte, Massiv",März 2019,Burst,Palisander,Seagull,Nein,,Nein,Seagull Entourage Autumn Burst Q1T,609.0,"43,69 mm",Ja,1 Stück,91501
163,460692,,Mahagoni,20,Nein,Mahagoni,,Vintage Sunburst,Ovangkol,Harley Benton,Nein,,Nein,Harley Benton Custom Line CLD-15M VS,179.0,"43,00 mm",Nein,1 Stück,94570
164,331485,,Esche,22,Nein,Esche,März 2014,Blau,Palisander,Dean Guitars,Nein,,Nein,Dean Guitars Exotica Quilt Ash TBLS,349.0,"42,00 mm",Nein,1 Stück,36704
165,379991,,Mahagoni,20,Ja,"Fichte, Massiv",Mai 2016,Schwarz,Palisander,Yamaha,Nein,,Nein,Yamaha FGX820C BL,449.0,"43,00 mm",Ja,1 Stück,41225
166,404772,,Mahagoni,20,Ja,"Mahagoni, massiv",Februar 2017,Natur,Walnuss,Fender,Nein,,Nein,Fender CD-60SCE All Mah,268.0,"43,00 mm",Ja,1 Stück,91806
167,407884,,Mahagoni,20,Ja,Fichte,Februar 2017,Natur,Ovangkol,Brümmer,Ja,,Nein,Brümmer Acoustic CLD-10SC Bundle,199.0,"43,00 mm",Ja,1 Stück,42252
168,461188,,Palisander,20,Nein,Sitka Fichte massiv,März 2019,Rosewood Burst,Palisander,Gibson,Nein,,Ja,Gibson Songwriter RB 2019,2989.0,"43,80 mm",Ja,1 Stück,8198
169,462386,,Kirsche,21,Nein,"Zeder, massiv",März 2019,Natur,Palisander,Seagull,Nein,,Nein,Seagull S6 Original Natural,499.0,"45,72 mm",Nein,1 Stück,8189
170,423920,,Mahagoni,20,Ja,"Fichte, Massiv",November 2017,Schwarz,Ovangkol,Takamine,Nein,,Nein,Takamine GD30CE-B,499.0,"43,00 mm",Ja,1 Stück,12044
171,380023,,Palisander,20,Ja,"Fichte, Massiv",Juni 2016,Natur,Palisander,Yamaha,Nein,,Nein,Yamaha FGX830C NT,529.0,"43,00 mm",Ja,1 Stück,18189
172,386225,,Palisander,20,Nein,"Fichte, Massiv",November 2016,Natur,Ebenholz,Yamaha,Ja,,Nein,Yamaha Transacoustic LL-TA BS,869.0,"44,00 mm",Ja,1 Stück,20387
173,436876,,"Palisander, Massiv",20,Ja,"Fichte, Massiv",Juni 2018,Natur,Ebenholz,Furch,Nein,,Ja,Furch Orange Gc-SR/L.R. Baggs Stage,2498.0,"45,00 mm",Ja,1 Stück,86617
174,240573,,Mahagoni,20,Ja,Fichte,Januar 2011,Sunburst,Palisander,Epiphone,Nein,,Nein,Epiphone Dr500mce Vs,531.0,"43,00 mm",Ja,1 Stück,3982
175,428948,,Mahagoni,20,Nein,"Fichte, Massiv",Februar 2018,Natur,Ovangkol,Ibanez,Nein,,Nein,Ibanez AVD11-ANS Artwood Vintage,437.0,"43,00 mm",,1 Stück,68160
176,453225,Dreadnought,Koa,20,Nein,"Fichte, Massiv",Mai 2019,Natur,Richlite,Gibson,Nein,Ja,,Gibson Hummingbird Custom AN,6499.0,"43,00 mm",Nein,1 Stück,8144
177,457747,,Ebenholz,20,Ja,Sitka Fichte massiv,März 2019,"Natur, Hochglanz",Pau Ferro,Guild,Nein,,Nein,Guild D-260CE Deluxe NAT,629.0,"44,50 mm",Ja,1 Stück,81923
178,190654,,Mahagoni,20,Nein,Fichte,Mai 2006,Schwarz,Walnuss,Fender,Nein,,Nein,Fender CD-60 BK V3 Westerngitarre,129.0,"43,00 mm",Nein,1 Stück,13599
179,355088,,Mahagoni,22,Ja,Mahagoni,April 2015,Grafik,Ahorn,Dean Guitars,Nein,,Nein,Dean Guitars Exhibition Resurrection A/E Ap,458.0,"42,00 mm",Ja,1 Stück,34988
180,461104,,Mahagoni,20,Ja,Sitka Fichte,März 2019,Vintage Sunburst,Palisander,Gibson,Nein,,Ja,Gibson J-45 Cutaway VS 2019,2598.0,"43,80 mm",Ja,1 Stück,79440
181,379971,,Nato,20,Ja,"Fichte, Massiv",Mai 2016,Schwarz,Palisander,Yamaha,Nein,,Nein,Yamaha FGX800C BL,359.0,"43,00 mm",Ja,1 Stück,38906
182,331626,,Mahagoni,21,Nein,"Fichte, Massiv",Februar 2014,Sunburst,Palisander,Gretsch,Nein,,Nein,Gretsch G5024E Rancher,449.0,"43,00 mm",Ja,1 Stück,43864
183,452334,,Mahagoni,20,Ja,Fichte,November 2018,Sunburst,Ovangkol,DAngelico,Ja,,Nein,DAngelico Premier Bowery VS,499.0,"43,00 mm",Ja,1 Stück,35700
184,459501,,Mahagoni,20,Ja,"Fichte, Massiv",Februar 2019,Sunburst,Palisander,Gibson,Nein,,Ja,Gibson J-45 Cutaway HCS,2499.0,"43,00 mm",Ja,1 Stück,79737
185,422064,,Mahagoni,20,Ja,Fichte,November 2017,Blau,Palisander,Daisy Rock,Nein,,Nein,Daisy Rock Wildwood Artist RBL Burst 6278,289.0,"40,00 mm",Ja,1 Stück,87167
186,423233,,Mahagoni,20,Nein,Fichte,März 2018,Sunburst,Ovangkol,Harley Benton,Nein,,Nein,Harley Benton Custom Line CLJ-45E VS,179.0,"43,00 mm",Ja,1 Stück,32417
187,277645,,Agathis,20,Nein,Fichte,Februar 2012,Sunburst,Kiefer,Ibanez,Ja,,Nein,Ibanez V50NJP-VS Jam Pack,109.0,"42,50 mm",Nein,1 Stück,43040
188,459989,,Mahagoni,20,Nein,"Fichte, Massiv",Mai 2019,Sunburst,Ebenholz,Gibson,Nein,,Ja,Gibson 125th Anniversary J-45,4498.0,"43,80 mm",Nein,1 Stück,86994
189,433014,,Mahagoni,20,Nein,"Fichte, Massiv",Mai 2018,Sunburst,Palisander,Guild,Nein,,Ja,Guild D-40 ATB USA,1799.0,"43,00 mm",Nein,1 Stück,80225
190,354485,,"Palisander, Massiv",20,Nein,"Fichte, Massiv",Dezember 2014,Natur,Ebenholz,Larrivee,Nein,,Ja,Larrivee D-03R,1749.0,,Nein,1 Stück,30384
191,451152,,Palisander,20,Ja,"Fichte, Massiv",November 2018,Natur,Palisander,Yamaha,Nein,,Nein,Yamaha A1R II VN,579.0,"43,00 mm",Ja,1 Stück,50562
192,460946,,Mahagoni,20,Ja,Fichte,März 2019,"Natur, matt",Ovangkol,Baton Rouge,Nein,,Nein,Baton Rouge L1LS/DCE Natural,199.0,"46,00 mm",Ja,1 Stück,14900
