,artikelnummer,bauweise,boden_und_zargen,bünde,cutaway,decke,erhältlich_seit,farbe,griffbrett,hersteller,inkl_gigbag,inkl_koffer,koffer,modell,preis,sattelbreite_in_mm,tonabnehmer,verkaufseinheit,verkaufsrang
252,223914,,Mahagoni,20,Nein,Fichte,Dezember 2009,Natur,Palisander,Epiphone,Nein,,Nein,Epiphone 1964 Texan Limited Edition AN,371.0,"42,50 mm",Nein,1 Stück,32049
253,326852,,Mahagoni,20,Ja,Zeder,November 2013,Natur,Palisander,Ibanez,Nein,,Nein,Ibanez AW65ECE-LG,299.0,"43,00 mm",Ja,1 Stück,23049
254,157818,,Catalpa,20,Nein,Fichte,Januar 2003,Schwarz,Roseacer,Harley Benton,Nein,,Nein,Harley Benton HBD120BK Westerngitarre schwarz,64.0,"42,50 mm",Nein,1 Stück,2664
255,423916,,Mahagoni,20,Ja,Fichte,November 2017,Natur,Ovangkol,Takamine,Nein,,Nein,Takamine GD30CE-N,429.0,"43,00 mm",Ja,1 Stück,8229
256,462446,,"Mahagoni, Massiv",21,Nein,"Fichte, Massiv",März 2019,Natur,Richlite,Seagull,Nein,,Nein,Seagull Maritime SWS Natural,729.0,"45,70 mm",Nein,1 Stück,81280
257,284249,,Mahagoni,20,Ja,Fichte,November 2012,Schwarz,Ovangkol,Harley Benton,Nein,,Nein,Harley Benton HB Custom Line CLD-10SCE BKS,198.0,"43,00 mm",Ja,1 Stück,4687
258,345093,,Catalpa,20,Ja,Fichte,Januar 2015,Sunburst,Roseacer,Harley Benton,Nein,,Nein,Harley Benton D-120CE VS,74.0,"42,50 mm",Ja,1 Stück,2247
259,459443,,Ovangkol,20,Ja,"Fichte, Massiv",,Natur,Brownwood,LAG,Nein,,Ja,LAG THV20DCE Tramontane HyVibe,1298.0,"43,00 mm",Ja,1 Stück,83515
260,192483,,Nato,20,Ja,Fichte,Oktober 2006,Schwarz,Palisander,Yamaha,Nein,,Nein,Yamaha FX370C Westerngitarre schwarz,269.0,"43,00 mm",Ja,1 Stück,16704
261,426679,,Mahagoni,20,Nein,Fichte,November 2017,Natur,Merbau,Cort,Nein,,Nein,Cort AD810 OP,135.0,"43,00 mm",Nein,1 Stück,32928
262,450869,,Mahagoni,20,Nein,"Fichte, Massiv",Oktober 2018,Schwarz,Palisander,Yamaha,Nein,,Nein,Yamaha FG820 BL,309.0,"43,00 mm",Nein,1 Stück,49965
263,192476,,Nato,20,Ja,Fichte,September 2006,Natur,Palisander,Yamaha,Nein,,Nein,Yamaha FX370C Westerngitarre natur,269.0,"43,00 mm",Ja,1 Stück,18669
264,402446,,"Palisander, Massiv",20,Nein,"Fichte, Massiv",April 2017,Natur,Ebenholz,Taylor,Nein,,Ja,Taylor 810e DLX,3998.0,"44,50 mm",Ja,1 Stück,79731
265,441808,,Mahagoni,20,Ja,Mahagoni,Juni 2018,Natur,Ovangkol,Harley Benton,Nein,,Nein,Harley Benton Custom Line CLD-15MCE Bundle,239.0,"43,00 mm",Ja,1 Stück,99843
266,414099,,Walnuss,20,Nein,Fichte,September 2017,Natur,Ovangkol,Harley Benton,Nein,,Nein,Harley Benton Custom Line CLD-41SE WN,319.0,"43,00 mm",Ja,1 Stück,2530
267,457572,,"Mahagoni, Massiv",20,Nein,"Fichte, Massiv",März 2019,Natur,Ebenholz,Taylor,Nein,,Ja,Taylor Builders Edition 517,2799.0,"44,50 mm",Nein,1 Stück,83290
268,437835,,Mahagoni,20,Nein,"Fichte, Massiv",Mai 2018,"Natur, matt",Ebenholz,Furch,Nein,,Nein,Furch Violet D-SY/ L.R. Baggs,888.0,"45,00 mm",Ja,1 Stück,32840
269,361897,,"Mahagoni, Massiv",20,Nein,"Mahagoni, massiv",August 2016,Natur,Palisander,Guild,Nein,,Ja,Guild D-20 Nat USA,1298.0,"43,00 mm",Nein,1 Stück,79667
270,337747,,Blackwood,21,Ja,"Fichte, Massiv",April 2014,Natur,Palisander,Maton,Nein,,Ja,Maton SRS70C w/ Case,1829.0,"44,10 mm",Ja,1 Stück,36246
271,453237,,Mahagoni,20,Ja,Mahagoni,November 2018,Natur,Ovangkol,Takamine,Nein,,Nein,Takamine GD11MCENS,329.0,"43,00 mm",Ja,1 Stück,5273
272,454247,,Mahagoni,19,Nein,Mahagoni,Dezember 2018,Mahagoni,Ovangkol,DAngelico,Nein,,Nein,DAngelico Premier Utica Mahogany Arched,224.0,"43,00 mm",Nein,1 Stück,86903
273,422051,,Mahagoni,20,Ja,Mahagoni,September 2017,Braun,Lorbeer,Ibanez,Nein,,Nein,Ibanez PF12MHCE-OPN,169.0,"42,00 mm",Ja,1 Stück,41003
274,404454,,Walnuss,20,Nein,"Fichte, Massiv",März 2017,Natur,Ebenholz,Taylor,Ja,,Nein,Taylor 110e Walnut 2017,799.0,"42,80 mm",Ja,1 Stück,7394
275,332029,,Mahagoni,20,Ja,Fichte,Januar 2014,Schwarz,Palisander,Ibanez,Nein,,Nein,Ibanez PF15ECE-BK,186.0,"42,00 mm",Ja,1 Stück,22464
276,161205,,Meranti,20,Nein,Fichte,April 2003,Sunburst,Palisander,Yamaha,Nein,,Nein,Yamaha F310 Akustikgitarre Tobacco Sunburst,139.0,"43,00 mm",Nein,1 Stück,19549
277,462269,,Kirsche,21,Ja,"Fichte, Massiv",März 2019,Burst,Palisander,Art & Lutherie,Nein,,Nein,Art & Lutherie Americana Bourbon Burst CW Q1T,549.0,"43,70 mm",Ja,1 Stück,13575
278,453074,,Ahorn,20,Nein,"Fichte, Massiv",April 2019,Antique Cherry,Richlite,Gibson,Nein,,Ja,Gibson Dovers in Flight AC,6498.0,"40,00 mm",Nein,1 Stück,79975
279,438060,,Mahagoni,20,Nein,"Mahagoni, massiv",Juli 2018,"Natur, matt",Ebenholz,Lakewood,Nein,,Ja,Lakewood D-14 Edition 2018,1719.0,"45,00 mm",Nein,1 Stück,86801
280,461175,,Palisander,20,Nein,Sitka Fichte massiv,April 2019,Rosewood Burst,Richlite,Gibson,Nein,,Ja,Gibson Hummingbird Dlx Burst 2019,4185.0,"43,80 mm",Ja,1 Stück,7458
281,457742,,Mahagoni,20,Nein,Sitka Fichte massiv,März 2019,Sunburst,Pau Ferro,Guild,Nein,,Nein,Guild DS-240 Memoir Series,529.0,"44,50 mm",Nein,1 Stück,32252
282,453917,,"Mahagoni, Massiv",630,Nein,"Fichte, Massiv",November 2018,"Natur, matt",Blackwood Tek,Shadow Guitars,Nein,,Nein,Shadow Guitars JMS-50E NS B-Stock,333.0,"43,00 mm",Ja,1 Stück,45311
283,455288,,Mahagoni,20,Nein,Fichte,Dezember 2018,Sunburst,Palisander,Fender,Ja,,Nein,Fender FA-125 Sunburst Bundle,145.0,"42,95 mm",Nein,1 Stück,37140
284,434922,,Mahagoni,20,Nein,Fichte,März 2018,Natur,Ovangkol,Cort,Nein,,Nein,Cort Earth 100 NS,279.0,"43,00 mm",Nein,1 Stück,31942
285,242440,,Palisander,20,Nein,Fichte,Februar 2010,Sunburst,Ebenholz,Guild,Nein,,Ja,Guild D55 ATB,3474.0,"42,90 mm",Nein,1 Stück,30596
286,273324,,Nato,20,Ja,Fichte,November 2011,Schwarz,Ahorn,Fender,Nein,,Ja,Fender Squier SA-105CE BK Bundle,182.0,"43,00 mm",Ja,1 Stück,32621
287,189145,,Ovangkol,20,Nein,Fichte,Dezember 2012,Natur,Ebenholz,Lakewood,Nein,,Ja,Lakewood D-18,1695.0,"44,00 mm",Nein,1 Stück,33108
288,416259,,Walnuss,20,Ja,"Fichte, Massiv",November 2017,Natur,Ovangkol,Harley Benton,Nein,,Nein,Harley Benton Custom Line CLD-28SCE Walnut,229.0,"43,00 mm",Ja,1 Stück,8217
289,460963,,Mahagoni,21,Nein,Zeder,März 2019,Natur,Ovangkol,Baton Rouge,Nein,,Nein,Baton Rouge L1C/D Natural,229.0,"46,00 mm",Nein,1 Stück,35961
290,466682,,Mahagoni,20,Nein,"Zeder, massiv",Mai 2019,Natur,Ebenholz,Furch,Nein,,Nein,Furch Indigo D-CY B-Stock,649.0,"45,00 mm",Nein,1 Stück,98243
291,245120,,Mahagoni,20,Nein,Mahagoni,März 2010,Natur,Palisander,Martin Guitars,Nein,,Ja,Martin Guitars D-15M,1690.0,"42,90 mm",Nein,1 Stück,11265
292,453974,,Mahagoni,20,Nein,"Mahagoni, massiv",Dezember 2018,Natur,Eboncore,Tanglewood,Nein,,Nein,Tanglewood TWU D,209.0,"43,00 mm",Nein,1 Stück,37098
293,401135,,Ovangkol,20,Ja,Fichte,Oktober 2016,Sunburst,Walnuss,Fender,Nein,,Nein,Fender CD-140SCE Sunburst,349.0,"41,30 mm",Ja,1 Stück,81466
294,452580,,Walnuss,20,Ja,"Fichte, Massiv",Januar 2019,Walnuss Burst,Richlite,Gibson,Nein,,Ja,Gibson Hummingbird Walnut Avant WB,1699.0,"43,00 mm",Ja,1 Stück,30964
295,441806,,Mahagoni,20,Ja,Fichte,Juni 2018,Natur,Ovangkol,Harley Benton,Nein,,Nein,Harley Benton Custom Line CLD-1048SCE Bundle,219.0,"48,00 mm",Ja,1 Stück,50327
296,417830,,Whitewood,20,Nein,Fichte,Juli 2017,Sunburst,Revebond,Recording King,Nein,,Nein,Recording King RDS-7-TS,139.0,"43,00 mm",Nein,1 Stück,49169
297,465543,,"Mahagoni, Massiv",20,Nein,"Fichte, Massiv",,Natur,Ebenholz,Yamaha,Nein,,Ja,Yamaha FGX5 NT,1369.0,"44,00 mm",Ja,1 Stück,81503
298,465416,,Pau Ferro Massiv,20,Ja,"Fichte, Massiv",Mai 2019,Natur,Ebenholz,Ibanez,Nein,,Ja,Ibanez AWFS580CE-OPS,1299.0,"45,00 mm",Ja,1 Stück,84572
299,285761,,Mahagoni,20,Nein,Fichte,Juni 2012,Natur,Walnuss,Fender,Nein,,Nein,Fender CD-60 NA V3 B-Stock,119.0,"43,00 mm",Nein,1 Stück,98579
300,451166,,"Palisander, Massiv",20,Ja,"Fichte, Massiv",Oktober 2018,Sunburst,Ebenholz,Yamaha,Ja,,Nein,Yamaha A3R ARE TBS,845.0,"43,00 mm",Ja,1 Stück,40341
301,303873,,Palisander,21,Ja,Fichte,Januar 2013,Natur,Ebenholz,Takamine,Nein,,Ja,Takamine P7DC,2899.0,"45,00 mm",Ja,1 Stück,5973
302,379860,,Nato,20,Nein,"Fichte, Massiv",April 2016,Schwarz,Palisander,Yamaha,Nein,,Nein,Yamaha FG800 BL,269.0,"43,00 mm",Nein,1 Stück,38795
303,397192,,"Palisander, Massiv",20,Nein,"Fichte, Massiv",August 2016,Natur,Ebenholz,Taylor,Nein,,Ja,Taylor 810,2798.0,"44,50 mm",Nein,1 Stück,79695
304,461233,,Walnuss,20,Nein,Sitka Fichte massiv,März 2019,Walnuss Burst,Walnuss,Gibson,Nein,,Ja,Gibson Hummingbird Studio WB 2019,2045.0,"43,80 mm",Ja,1 Stück,79906
305,298350,,Palisander,20,Nein,Fichte,Oktober 2012,Natur,Ebenholz,Martin Guitars,Nein,,Ja,Martin Guitars HD-28 B-Stock,2999.0,"44,45 mm",Nein,1 Stück,98132
306,423519,,Nato,20,Ja,Fichte,Oktober 2017,Schwarz,Ahorn,Fender,Nein,,Nein,Fender Squier SA-105CE BK Bundle 2,112.0,"43,00 mm",Ja,1 Stück,28912
307,268342,,Nato,20,Ja,Fichte,September 2011,Natur,Ahorn,Fender,Nein,,Nein,Fender Squier SA-105CE NA,111.0,"43,00 mm",Ja,1 Stück,2603
308,438018,,"Palisander, Massiv",21,Nein,"Fichte, Massiv",Mai 2018,"Natur, matt",Palisander,Framus,Nein,,Ja,Framus Legacy FD28 Satin,629.0,"44,50 mm",Nein,1 Stück,28140
309,368131,,Mahagoni,20,Ja,Fichte,Juli 2015,Natur,Lorbeer,Ibanez,Ja,,Nein,Ibanez PF15ECE-NT Bundle,199.0,"42,00 mm",Ja,1 Stück,10562
310,379965,,Nato,20,Ja,"Fichte, Massiv",Mai 2016,Natur,Palisander,Yamaha,Nein,,Nein,Yamaha FGX800C NT,359.0,"43,00 mm",Ja,1 Stück,20750
311,457601,,"Palisander, Massiv",20,Nein,"Fichte, Massiv",Januar 2019,Natur,Ebenholz,Taylor,Nein,,Ja,Taylor Builders Edition 717e,3199.0,"44,50 mm",Ja,1 Stück,13533
312,284247,,Mahagoni,20,Nein,Fichte,November 2012,Schwarz,Ovangkol,Harley Benton,Nein,,Nein,Harley Benton HB Custom Line CLD-10S BKS,149.0,"43,00 mm",Nein,1 Stück,12128
313,438513,,Mahagoni,20,Nein,Fichte,April 2018,Sunburst,Ovangkol,Harley Benton,Nein,,Nein,Harley Benton Custom Line CLJ-45E VS B-Stock,149.0,"43,00 mm",Ja,1 Stück,50399
314,462397,,Kirsche,21,Nein,"Zeder, massiv",März 2019,Natur,Palisander,Seagull,Nein,,Nein,Seagull S6 Original Slim,539.0,"43,69 mm",Nein,1 Stück,41126
315,379939,,Palisander,20,Nein,"Fichte, Massiv",April 2016,Sunburst,Palisander,Yamaha,Nein,,Nein,Yamaha FG830 TBS,359.0,"43,00 mm",Nein,1 Stück,39492
316,438017,,"Palisander, Massiv",21,Ja,"Fichte, Massiv",Mai 2018,"Natur, matt",Palisander,Framus,Nein,,Ja,Framus Legacy FD28 EC,699.0,"44,50 mm",Ja,1 Stück,5937
317,150353,,Palisander,20,Nein,Fichte,Oktober 2001,Natur,Ebenholz,Martin Guitars,Nein,,Ja,Martin Guitars D-28 Westerngitarre,2690.0,"42,90 mm",Nein,1 Stück,3433
318,379076,,Mahagoni,20,Nein,"Mahagoni, massiv",September 2017,Natur,Palisander,Guild,Nein,,Ja,Guild D-20E Nat,1699.0,"44,00 mm",Ja,1 Stück,83644
319,158670,,Palisander,20,Nein,Fichte,November 2002,Natur,Ebenholz,Martin Guitars,Nein,,Ja,Martin Guitars D-35 Westerngitarre,2799.0,"42,90 mm",Nein,1 Stück,79335
320,428669,,"Palisander, Massiv",20,Nein,"Fichte, Massiv",Januar 2018,Natur,Ebenholz,Furch,Nein,,Ja,Furch Vintage 1 D-SR,1549.0,"45,00 mm",Nein,1 Stück,46157
321,111395,,Catalpa,20,Ja,Fichte,März 2007,Schwarz,Roseacer,Harley Benton,Ja,,Nein,Harley Benton HBD120CEBK Bundle,111.0,"42,50 mm",Ja,1 Stück,6912
322,451578,,Mahagoni,20,Nein,Fichte,Oktober 2018,Natur,Ovangkol,Cort,Nein,,Nein,Cort Earth 100 NS 2018 B-Stock,215.0,"43,00 mm",Nein,1 Stück,55184
323,161206,,Meranti,20,Nein,Fichte,April 2003,Natur,Palisander,Yamaha,Nein,,Nein,Yamaha F310 Akustikgitarre natur,129.0,"43,00 mm",Nein,1 Stück,17700
324,137078,,Palisander,21,Ja,Zeder,November 1999,Natur,Palisander,Takamine,Nein,,Ja,Takamine GB7C,1349.0,"40,00 mm",Ja,1 Stück,39986
325,262224,,Catalpa,20,Ja,Fichte,März 2011,Schwarz,Roseacer,Harley Benton,Ja,,Nein,Harley Benton HBD120CEBK Bundle,172.0,"42,50 mm",Ja,1 Stück,33284
326,451176,,"Palisander, Massiv",20,Ja,"Fichte, Massiv",Oktober 2018,Natur,Ebenholz,Yamaha,Ja,,Nein,Yamaha A3R ARE VN,799.0,"43,00 mm",Ja,1 Stück,36028
327,333968,,Mahagoni,20,Ja,Mahagoni,Juli 2014,Natur,Ovangkol,Harley Benton,Nein,,Nein,Harley Benton Custom Line CLD-15MCE,199.0,"43,00 mm",Ja,1 Stück,2163
328,441822,,Mahagoni,20,Ja,"Fichte, Massiv",August 2018,"Sunburst, Hochglanz",Palisander,Gibson,Nein,,Ja,Gibson Hummingbird Mahogany AG 2019,1999.0,"43,80 mm",Ja,1 Stück,29730
329,415141,,Paldao,20,Nein,Fichte,November 2017,Natur,Ovangkol,Cort,Nein,,Nein,Cort EARTH100-PD Natural,229.0,"43,00 mm",Nein,1 Stück,92192
330,462271,,Kirsche,21,Nein,"Fichte, Massiv",,Burst,Palisander,Art & Lutherie,Nein,,Nein,Art & Lutherie Americana Bourbon Burst Q1T,499.0,"43,70 mm",Ja,1 Stück,80584
331,362251,,"Mahagoni, Massiv",20,Ja,"Fichte, Massiv",Mai 2015,Natur,Palisander,Guild,Nein,,Ja,Guild D-140CE Nat Westerly,759.0,"44,50 mm",Ja,1 Stück,46916
332,462273,,Kirsche,21,Ja,"Fichte, Massiv",März 2019,Schwarz,Palisander,Art & Lutherie,Nein,,Nein,Art & Lutherie Americana Faded Black CW Q1T,549.0,"43,70 mm",Ja,1 Stück,80121
333,459993,,Mahagoni,20,Nein,"Fichte, Massiv",Mai 2019,Sunburst,Ebenholz,Gibson,Nein,,Ja,Gibson 125th Anniversary Hummingbird,4798.0,"43,80 mm",Nein,1 Stück,5251
334,459702,,Ahorn,20,Ja,"Fichte, Massiv",April 2019,Burst,Richlite,Gibson,Nein,,Ja,Gibson J-45 Chroma,3199.0,"43,00 mm",Ja,1 Stück,12046
335,410387,,Palisander,21,Ja,Fichte,März 2017,Natur,Ebenholz,Framus,Nein,,Nein,Framus Legacy FD-28 N SR VNT CE,649.0,"45,00 mm",Ja,1 Stück,34014
336,379970,,Nato,20,Ja,"Fichte, Massiv",Mai 2016,Sunburst,Palisander,Yamaha,Nein,,Nein,Yamaha FGX800C SDB,359.0,"43,00 mm",Ja,1 Stück,19963
337,111396,,Catalpa,20,Nein,Fichte,März 2007,Schwarz,Roseacer,Harley Benton,Ja,,Nein,Harley Benton D120BK Westerngitarren-Bundle,99.0,"42,50 mm",Nein,1 Stück,44882
338,462230,,Palisander,20,Ja,"Fichte, Massiv",März 2019,Sunburst,Palisander,Yamaha,Nein,,Nein,Yamaha A1R II TBS B-Stock,505.0,"43,00 mm",Ja,1 Stück,95713
339,462409,,Kirsche,21,Nein,"Fichte, Massiv",März 2019,Burst,Palisander,Seagull,Nein,,Nein,Seagull Entourage Autumn Burst,514.0,"43,69 mm",Nein,1 Stück,38395
340,332030,,Mahagoni,20,Ja,Fichte,Januar 2014,Natur,Lorbeer,Ibanez,Nein,,Nein,Ibanez PF15ECE-NT,185.0,"42,00 mm",Ja,1 Stück,22461
341,464339,,Palisander,21,Ja,"Fichte, Massiv",April 2019,Natur,Ebenholz,Framus,Nein,,Ja,Framus Legacy FD-28 Cut VHP N B-Stock,709.0,"45,00 mm",Ja,1 Stück,96643
342,266390,,Mahagoni,20,Nein,Fichte,Mai 2011,Schwarz,Walnuss,Fender,Ja,,Nein,Fender CD-60 BK Bundle,155.0,"43,00 mm",Nein,1 Stück,29231
343,188184,,Nato,20,Nein,Fichte,März 2006,Natur,Palisander,Yamaha,Nein,,Nein,Yamaha F370 NA,166.0,"43,00 mm",Nein,1 Stück,39510
344,465573,,Walnuss,20,Nein,"Fichte, Massiv",Mai 2019,Natur,Richlite,Gibson,Nein,,Ja,Gibson Hummingbird Sustainabl B-Stock,1849.0,"43,00 mm",Ja,1 Stück,97166
345,295024,,Mahagoni,20,Ja,Zeder,September 2012,Natur,Palisander,Takamine,Nein,,Ja,Takamine P1DC,999.0,"42,50 mm",Ja,1 Stück,35274
346,462388,,Kirsche,21,Nein,"Zeder, massiv",März 2019,Natur,Palisander,Seagull,Nein,,Nein,Seagull S6 Original Q1T Natural,599.0,"45,72 mm",Ja,1 Stück,28394
347,450839,,Mahagoni,20,Nein,"Fichte, Massiv",November 2018,Natur,Palisander,Yamaha,Nein,,Nein,Yamaha FG820 NT,299.0,"43,00 mm",Nein,1 Stück,42793
348,223047,,Palisander,20,Nein,Fichte,August 2009,Natur,Palisander,Takamine,Nein,,Ja,Takamine EF360GF Glenn Frey,1449.0,"42,50 mm",Ja,1 Stück,12649
349,459963,,Ebenholz,20,Nein,"Fichte, Massiv",Februar 2019,Natur,Ebenholz,DAngelico,Nein,,Ja,DAngelico Excel Lexington Vintage Nat,749.0,"43,00 mm",Ja,1 Stück,38408
350,444410,,Walnuss,20,Ja,"Fichte, Massiv",Oktober 2018,Sunburst,Lorbeer,Takamine,Nein,,Nein,Takamine GD51CE-BSB,499.0,"43,00 mm",Ja,1 Stück,5978
351,461313,,Ahorn,20,Nein,Sitka Fichte massiv,März 2019,Natur,Ahorn,Ibanez,Nein,,Nein,Ibanez AVD15MPL-OPS B-Stock,429.0,"43,00 mm",Nein,1 Stück,97004
352,414629,,Catalpa,20,Nein,Fichte,Mai 2017,Sunburst,Roseacer,Harley Benton,Nein,,Nein,Harley Benton D-120VS Bundle,79.0,"42,50 mm",Nein,1 Stück,29576
353,192478,,Nato,20,Ja,Fichte,Oktober 2006,Sunburst,Palisander,Yamaha,Nein,,Nein,Yamaha FX370C TBS,269.0,"43,00 mm",Ja,1 Stück,18187
354,457587,,"Palisander, Massiv",20,Nein,"Fichte, Massiv",April 2019,Natur,Ebenholz,Taylor,Nein,,Ja,Taylor Builders Edition 717,2999.0,"44,50 mm",Nein,1 Stück,84399
355,462275,,Kirsche,21,Nein,"Fichte, Massiv",März 2019,Burst,Palisander,Art & Lutherie,Nein,,Nein,Art & Lutherie Americana Bourbon Burst,449.0,"43,70 mm",Nein,1 Stück,36340
356,459439,,Mahagoni,20,Ja,"Zeder, massiv",,Natur,Brownwood,LAG,Nein,,Nein,LAG THV10DCE Tramontane HyVibe,999.0,"43,00 mm",Ja,1 Stück,81506
357,460975,,Mahagoni,20,Ja,"Zeder, massiv",März 2019,"Natur, matt",Ovangkol,Baton Rouge,Nein,,Nein,Baton Rouge L1C/DCE Natural,359.0,"46,00 mm",Ja,1 Stück,36581
358,465290,,Palisander,20,Ja,"Fichte, Massiv",April 2019,Natur,Palisander,Yamaha,Nein,,Nein,Yamaha A1R II VN B-Stock,505.0,"43,00 mm",Ja,1 Stück,97412
359,379851,,Nato,20,Nein,"Fichte, Massiv",April 2016,Natur,Palisander,Yamaha,Nein,,Nein,Yamaha FG800 NT,269.0,"43,00 mm",Nein,1 Stück,37436
360,452562,,Walnuss,20,Nein,"Fichte, Massiv",Dezember 2018,Natur,Richlite,Gibson,Nein,,Ja,Gibson Hummingbird Sustainable N,1998.0,"43,00 mm",Ja,1 Stück,79389
361,462394,,Kirsche,21,Nein,"Zeder, massiv",März 2019,Natur,Palisander,Seagull,Nein,,Nein,Seagull S6 Original Slim Q1T Natural,669.0,"43,69 mm",Ja,1 Stück,32684
362,410394,,Palisander,21,Ja,Fichte,März 2017,Sunburst,Ebenholz,Framus,Nein,,Nein,Framus Legacy FD-28 N SR SBT CE,669.0,"45,00 mm",Ja,1 Stück,36322
363,461640,,Ziricote,20,Ja,"Fichte, Massiv",März 2019,Natur,Lorbeer,Takamine,Ja,,Nein,Takamine GD93CE-NAT-2 Set 1,669.0,"43,00 mm",Ja,1 Stück,7390
364,465490,,"Mahagoni, Massiv",20,Nein,"Fichte, Massiv",Mai 2019,Natur,Ebenholz,Yamaha,Nein,,Ja,Yamaha FGX3 NT,949.0,"44,00 mm",Ja,1 Stück,82218
365,456542,,"Mahagoni, Massiv",20,Nein,"Mahagoni, massiv",Januar 2019,Natur,Kiefer,Shadow,Nein,,Nein,Shadow JM30E MNS,449.0,"43,00 mm",Ja,1 Stück,43794
366,428570,,"Mahagoni, Massiv",20,Nein,"Zeder, massiv",Januar 2018,Natur,Ebenholz,Furch,Nein,,Nein,Furch Blue D-CM,888.0,"45,00 mm",Nein,1 Stück,32753
367,409293,,Okume,20,Nein,Fichte,Juli 2017,"Sunburst, Hochglanz",Blackwood,Harley Benton,Nein,,Nein,Harley Benton Custom Line Superior-E VS,198.0,"43,00 mm",Ja,1 Stück,4666
368,268344,,Nato,20,Ja,Fichte,September 2011,Sunburst,Ahorn,Fender,Nein,,Nein,Fender Squier SA-105CE Sunburst,111.0,"43,00 mm",Ja,1 Stück,2219
369,441803,,"Mahagoni, Massiv",20,Nein,"Fichte, Massiv",August 2018,"Sunburst, Hochglanz",Palisander,Gibson,Nein,,Ja,Gibson Hummingbird VCS 2019,3250.0,"43,80 mm",Ja,1 Stück,9004
370,356978,,Blackwood,21,Ja,"Fichte, Massiv",Januar 2015,Schwarz,Palisander,Maton,Nein,,Ja,Maton SRS70C BK w/ Case,1899.0,"44,50 mm",Ja,1 Stück,14278
371,211368,,Mahagoni,20,Nein,Fichte,Juli 2008,Schwarz,Palisander,Epiphone,Nein,,Nein,Epiphone DR-100 Akustikgitarre schwarz,113.0,"43,00 mm",Nein,1 Stück,9067
372,337744,,"Ahorn, Massiv",21,Ja,"Fichte, Massiv",April 2014,Natur,Palisander,Maton,Nein,,Ja,Maton SRS60C w/ Case,1538.0,"44,10 mm",Ja,1 Stück,29770
373,304830,,Mahagoni,20,Nein,"Fichte, Massiv",Januar 2013,Natur,Ovangkol,Harley Benton,Nein,,Nein,Harley Benton HB Custom Line CLD-10S B-Stock,111.0,"43,00 mm",Nein,1 Stück,62687
374,416492,,Palisander,20,Ja,"Fichte, Massiv",Juni 2017,Schwarz,Palisander,Yamaha,Nein,,Nein,Yamaha FGX830C BL B-Stock,455.0,"43,00 mm",Ja,1 Stück,52818
375,423962,,Mahagoni,20,Ja,"Zeder, massiv",November 2017,Natur,Ovangkol,Takamine,Nein,,Nein,Takamine GD20CE-N,429.0,"43,00 mm",Ja,1 Stück,10582
376,152025,,Sapele,20,Nein,Fichte,Februar 2002,Natur,Roseacer,Harley Benton,Nein,,Nein,Harley Benton HBD120NT Westerngitarre natur,64.0,"42,50 mm",Nein,1 Stück,2663
377,441816,,Mahagoni,20,Nein,"Fichte, Massiv",August 2018,"Sunburst, Hochglanz",Palisander,Gibson,Nein,,Ja,Gibson J-45 Standard VS 2019,2222.0,"44,00 mm",Ja,1 Stück,6664
378,413776,,Mahagoni,20,Nein,Mahagoni,Mai 2017,Braun,Palisander,Fender,Nein,,Ja,Fender PM-1 STD Dreadnought M B-Stock,459.0,"43,00 mm",Nein,1 Stück,98254
379,453702,,Mahagoni,20,Nein,"Zeder, massiv",November 2018,Natur,Ebenholz,Furch,Nein,,Nein,Furch Indigo Deluxe D-CY,769.0,"45,00 mm",Nein,1 Stück,80240
380,426678,,Mahagoni,20,Nein,Fichte,November 2017,Natur,Ovangkol,Cort,Nein,,Nein,Cort Earth 70 OP Open Pore,199.0,"43,00 mm",Nein,1 Stück,10549
381,459962,,Ebenholz,20,Ja,"Fichte, Massiv",Februar 2019,Sunburst,Ebenholz,DAngelico,Nein,,Ja,DAngelico Excel Bowery Vintage Sunburst,749.0,"43,00 mm",Ja,1 Stück,87702
382,111938,,Palisander,20,Nein,Fichte,April 2007,Natur,Ebenholz,Martin Guitars,Nein,,Ja,Martin Guitars HD-35,3199.0,"42,90 mm",Nein,1 Stück,80462
383,466376,,Palisander,21,Ja,Fichte,Mai 2019,Natur,Ebenholz,Framus,Nein,,Nein,Framus Legacy FD-28 N SR VNT  B-Stock,599.0,"45,00 mm",Ja,1 Stück,97750
384,435004,,Mahagoni,20,Nein,"Fichte, Massiv",März 2018,Natur,Ebenholz,Furch,Nein,,Nein,Furch Violet D-SY,699.0,"45,00 mm",Nein,1 Stück,47986
385,379935,,Palisander,20,Nein,"Fichte, Massiv",April 2016,Natur,Palisander,Yamaha,Nein,,Nein,Yamaha FG830 NT,358.0,"43,00 mm",Nein,1 Stück,18188
386,453941,,Mahagoni,20,Nein,Mahagoni,Dezember 2018,Whiskey Barrel Burst Satin,Tech Wood,Tanglewood,Nein,,Nein,Tanglewood TWCR D,129.0,"43,00 mm",Nein,1 Stück,32109
387,453145,,Palisander,20,Ja,"Fichte, Massiv",November 2018,Sunburst,Palisander,Gibson,Nein,,Ja,Gibson Songwriter Cutaway SB,2699.0,"43,00 mm",Ja,1 Stück,40839
388,414620,,Sapele,20,Nein,Fichte,Mai 2017,Natur,Roseacer,Harley Benton,Nein,,Nein,Harley Benton D-120NT Bundle,79.0,"42,50 mm",Nein,1 Stück,30717
