,artikelnummer,bauweise,boden_und_zargen,bünde,cutaway,decke,erhältlich_seit,farbe,griffbrett,hersteller,inkl_gigbag,koffer,mensur,modell,preis,sattelbreite_in_mm,tonabnehmer,verkaufseinheit,verkaufsrang
15,410797,Mini Grand Symphony,Mahagoni,,Nein,Mahagoni,Oktober 2017,Natur,Blackwood,Harley Benton,Ja,Nein,,Harley Benton GS-Travel-E Mahogany,109.0,"43,00 mm",Ja,1 Stück,223
16,367232,Travelguitar,Mahagoni,,Nein,Fichte,Juni 2015,Natur,Palisander,Luna Guitars,Nein,Nein,,Luna Guitars Safari Peace B-Stock,129.0,"43,00 mm",Nein,1 Stück,56561
17,454584,Parlor,Mahagoni,,Nein,"Fichte, Massiv",Dezember 2018,Natur,Walnuss,Fender,Nein,Nein,,Fender CP-60S Parlor Natural WN,169.0,"43,00 mm",Nein,1 Stück,28598
18,381996,Parlor,Mahagoni,,Nein,Mahagoni,April 2016,Natur,Walnuss,Luna Guitars,Nein,Nein,,Luna Guitars Gypsy Parlor Mahogany,168.0,"43,00 mm",Nein,1 Stück,32815
19,295056,Parlor,Sapele,,Nein,Zeder,September 2012,Natur,Palisander,Takamine,Nein,Ja,,Takamine P3NY,1249.0,"42,50 mm",Ja,1 Stück,6747
20,406796,Concert,Mahagoni,,Nein,"Fichte, Massiv",Mai 2017,Sunburst,Palisander,Guild,Ja,Nein,,Guild M-240E Troubadour Westerly,469.0,"42,80 mm",Ja,1 Stück,6092
21,453978,Parlor,Mahagoni,,Nein,Mahagoni,Dezember 2018,Natur,Tech Wood,Tanglewood,Nein,Ja,,Tanglewood TW3 E,359.0,"43,00 mm",Ja,1 Stück,47248
22,464882,Concert,Kirsche,,Nein,"Fichte, Massiv",,Blau,Palisander,Art & Lutherie,Nein,Nein,,Art & Lutherie Legacy Indigo Burst Q-Discrete,779.0,"43,70 mm",Ja,1 Stück,82542
23,457163,Dreadnought,Okume,,Nein,Okume,Januar 2019,Vintage,Blackwood,Harley Benton,Nein,Nein,,Harley Benton Delta Blues D Set 1,95.0,"43,00 mm",Nein,1 Stück,50120
24,461157,Orchestra,Mahagoni,,Nein,Mahagoni,März 2019,Vintage,Blackwood,Harley Benton,Nein,Nein,,Harley Benton Delta Blues OE B-Stock,92.0,"43,00 mm",Ja,1 Stück,50214
25,352269,Folk,Mahagoni,,Nein,"Mahagoni, massiv",April 2015,Natur,Palisander,Framus,Nein,Nein,,Framus FF-14M NS Legacy Series,299.0,"45,00 mm",Nein,1 Stück,42795
26,370305,Parlor,Mahagoni,,Nein,"Mahagoni, massiv",Januar 2016,Natur,Ovangkol,Harley Benton,Nein,Nein,,Harley Benton Custom Line CLP-15M,179.0,"45,00 mm",Nein,1 Stück,4203
27,406829,Concert,Mahagoni,,Nein,Fichte,September 2017,Natur,Palisander,Guild,Nein,Ja,,Guild M-40 N Troubadour NAT,1799.0,"44,50 mm",Nein,1 Stück,37066
28,406662,Parlor,Walnuss,,Nein,Fichte,Dezember 2017,Natur,Ebenholz,Breedlove,Nein,Ja,,Breedlove P10Ewe Thomann Special EDT NT,3599.0,"44,50 mm",Ja,1 Stück,86339
29,441538,Folk,Mahagoni,,Ja,"Fichte, Massiv",Juni 2018,Schwarz,Ebenholz,Framus,Nein,Nein,,Framus Legacy Series FF 14 S BK CE,389.0,"45,00 mm",Ja,1 Stück,30618
30,379078,Concert,Mahagoni,,Nein,Mahagoni,Juni 2016,Sunburst,Palisander,Guild,Nein,Ja,,Guild M-20 ATB USA,1499.0,"44,45 mm",Nein,1 Stück,31545
31,447459,Parlor,Mahagoni,,Nein,Fichte,Oktober 2018,Sunburst,Nandu,Ibanez,Nein,Nein,,Ibanez PN15-BS Parlor,139.0,"42,00 mm",Nein,1 Stück,63907
32,454004,Folk,Koa,,Ja,"Koa, Massiv",Dezember 2018,Natur,Tech Wood,Tanglewood,Nein,Nein,,Tanglewood TW4 E KOA,422.0,"43,00 mm",Ja,1 Stück,40297
33,455874,Grand Concert,Okume,,Ja,Sitka Fichte massiv,Januar 2019,Natur,Ovangkol,Ibanez,Nein,Nein,,Ibanez AC150CE-OPN,426.0,"45,00 mm",Ja,1 Stück,49755
34,459862,Folk,Mahagoni,,Nein,"Mahagoni, massiv",Februar 2019,Sunburst,Palisander,Framus,Nein,Nein,,Framus FF-14M VS Legacy Serie B-Stock,235.0,"45,00 mm",Nein,1 Stück,94174
35,428950,0-Style,Mahagoni,,Nein,"Fichte, Massiv",Februar 2018,Sunburst,Ovangkol,Ibanez,Nein,Nein,,Ibanez AVN11-ABS Artwood Vintage,407.0,"43,00 mm",Nein,1 Stück,23617
36,451666,Orchestra,Mahagoni,,Nein,Mahagoni,Februar 2019,Vintage,Blackwood,Harley Benton,Nein,Nein,,Harley Benton Delta Blues OE,99.0,"43,00 mm",Ja,1 Stück,2305
37,462428,Concert,"Mahagoni, Massiv",,Ja,"Fichte, Massiv",März 2019,Natur,Richlite,Seagull,Nein,Nein,,Seagull Maritime SWS Concert Q1T NT,998.0,"43,69 mm",Ja,1 Stück,82001
38,418494,Travel,"Mahagoni, Massiv",,Nein,"Fichte, Massiv",Oktober 2017,Natur,Ovangkol,Fender,Nein,Ja,,Fender PM-TE Standard Natural,411.0,"43,00 mm",Ja,1 Stück,30579
39,462496,Parlor,"Amara, Spalt Mango",,Nein,"Zeder, massiv",März 2019,Natur,Tech Wood,Tanglewood,Nein,Nein,,Tanglewood TWJP E B-Stock,399.0,"43,00 mm",Ja,1 Stück,94172
40,444422,NEX,Walnuss,,Ja,"Fichte, Massiv",Oktober 2018,Natur,Lorbeer,Takamine,Nein,Nein,,Takamine GN51CE-NAT,499.0,"43,00 mm",Ja,1 Stück,13692
41,453933,Parlor,Mahagoni,,Nein,"Fichte, Massiv",November 2018,Sunburst,Walnuss,Fender,Nein,Nein,,Fender CP-60S Parlor Sunburst WN,178.0,"43,00 mm",Nein,1 Stück,11499
42,437901,Grand Concert,Ahorn,,Ja,"Fichte, Massiv",Mai 2018,Natur,Palisander,Framus,Nein,Nein,,Framus Legacy Series FC44 SMV Concert,555.0,"45,00 mm",Nein,1 Stück,45694
43,460890,Travel,Glas faserverstärkte Kohlefaser,,Ja,Kohlefaser,April 2019,"Schwarz, hochglanz",Kohlefaser,Journey Instruments,Ja,Nein,,Journey Instruments OF660 BK,1375.0,"44,50 mm",Ja,1 Stück,5395
44,337383,Auditorium,"Koa, massiv",,Ja,"Fichte, Massiv",März 2014,Natur,Ebenholz,Cuntz Guitars,Nein,Ja,,Cuntz Guitars CWG 23-2 Penelope Koa,6200.0,"46,00 mm",Ja,1 Stück,86253
45,425521,Mini Grand Symphony,Mahagoni,,Nein,Mahagoni,November 2017,Natur,Blackwood,Harley Benton,Ja,Nein,,Harley Benton GS-Travel-E Mahogany B-Stock,89.0,"43,00 mm",Ja,1 Stück,21873
46,145077,Small,Meranti,,Nein,Fichte,November 2000,Natur,Palisander,Yamaha,Nein,Nein,,Yamaha JR-1,139.0,"43,00 mm",Nein,1 Stück,37069
47,441795,Folk,Mahagoni,,Nein,Mahagoni,Juni 2018,Natur,Roseacer,Harley Benton,Nein,Nein,,Harley Benton CG-45 NS Bundle,122.0,"42,00 mm",Nein,1 Stück,73571
48,462416,Concert,Kirsche,,Ja,"Fichte, Massiv",,Burst,Palisander,Seagull,Nein,Nein,,Seagull Entourage Concert Autumn Burst,669.0,"43,70 mm",Ja,1 Stück,81734
49,462334,Parlor,Kirsche,,Nein,"Fichte, Massiv",März 2019,Schwarz,Palisander,Art & Lutherie,Ja,Nein,,Art & Lutherie Roadhouse FB A/E with Gigbag,499.0,"43,70 mm",Ja,1 Stück,39248
50,464126,Folk,Mahagoni,,Nein,Mahagoni,April 2019,Natur,Ovangkol,Cort,Nein,Nein,,Cort Luce 450 C NS,489.0,"20,00 mm",Ja,1 Stück,80704
51,380066,000-Style,Okume,,Nein,"Okume, massiv",Januar 2016,Natur,Ovangkol,Harley Benton,Nein,Nein,,Harley Benton Custom Line CLP-15ME B-Stock,179.0,"45,00 mm",Nein,1 Stück,31157
52,460991,Travel,"Sapele, massiv",,Ja,Sitka Fichte massiv,April 2019,Natur,Ovangkol,Journey Instruments,Ja,Nein,,Journey Instruments FF412C,869.0,"44,50 mm",Ja,1 Stück,6008
53,451678,Mini Jumbo,Mahagoni,,Nein,Mahagoni,Februar 2019,Vintage,Blackwood,Harley Benton,Nein,Nein,,Harley Benton Delta Blues MJCE,99.0,"43,00 mm",Ja,1 Stück,1276
54,379080,Concert,Mahagoni,,Nein,Mahagoni,Dezember 2016,Natur,Palisander,Guild,Nein,Ja,,Guild M-20E NAT,1649.0,"44,45 mm",Ja,1 Stück,29230
