,artikelnummer,bauweise,boden_und_zargen,bünde,cutaway,decke,erhältlich_seit,farbe,griffbrett,hersteller,inkl_gigbag,koffer,mensur,modell,preis,sattelbreite_in_mm,tonabnehmer,verkaufseinheit,verkaufsrang
83,441452,Travel,"Mahagoni, Massiv",,Nein,"Fichte, Massiv",Juni 2018,Natur,Ovangkol,Fender,Nein,Ja,,Fender PM-TE Standard Natural B-Stock,379.0,"43,00 mm",Ja,1 Stück,98999
84,453712,Travel,Mahagoni,,Nein,"Fichte, Massiv",November 2018,Schwarz,Walnuss,Fender,Nein,Nein,,Fender CT-60S Travel Black WN,175.0,"43,00 mm",Nein,1 Stück,7664
85,446324,Travel,Bambus,,Nein,Bambus,Dezember 2018,Natur,Walnuss,Luna Guitars,Ja,Nein,,Luna Guitars Safari Bamboo Travel Guitar,159.0,"43,00 mm",Nein,1 Stück,49316
86,274631,Folk,Mahagoni,,Nein,Mahagoni,Dezember 2011,Natur,Roseacer,Harley Benton,Ja,Nein,,Harley Benton Blues Guitar Set 2,75.0,"42,00 mm",Nein,1 Stück,1488
87,416846,Travel,Mahagoni,,Nein,Fichte,Oktober 2017,Natur,Palisander,Luna Guitars,Ja,Nein,,Luna Guitars Safari Dragonfly,169.0,"43,00 mm",Nein,1 Stück,37574
88,321014,Mini Jumbo,Linde,,Ja,Fichte,November 2013,Pink,Roseacer,Harley Benton,Nein,Nein,,Harley Benton EAX-10 Pinky,69.0,"43,00 mm",Ja,1 Stück,57849
89,460952,Folk,Mahagoni,,Nein,Fichte,März 2019,Natur,Ovangkol,Baton Rouge,Nein,Nein,,Baton Rouge L1LS/F Natural,129.0,"46,00 mm",Nein,1 Stück,54040
90,370308,000-Style,Okume,,Nein,"Okume, massiv",Januar 2016,Natur,Ovangkol,Harley Benton,Nein,Nein,,Harley Benton Custom Line CLP-15ME,219.0,"45,00 mm",Ja,1 Stück,1265
91,336519,Small,Palisander,,Nein,"Fichte, Massiv",Mai 2014,Natur,Palisander,Yamaha,Ja,Nein,,Yamaha LS 6 A.R.E NT,549.0,"44,00 mm",Ja,1 Stück,36390
92,455861,AE Junior,Koa,,Ja,Sitka Fichte massiv,Januar 2019,"Natur, Hochglanz",Ahorn,Ibanez,Nein,Nein,,Ibanez AE315K-NT,888.0,"44,00 mm",Ja,1 Stück,50917
93,454014,Parlor,"Amara, Spalt Mango",,Nein,"Zeder, massiv",Dezember 2018,Natur,Tech Wood,Tanglewood,Nein,Nein,,Tanglewood TWJP E,479.0,"43,00 mm",Ja,1 Stück,34941
94,462289,Concert,Kirsche,,Ja,"Fichte, Massiv",März 2019,Burst,Palisander,Art & Lutherie,Nein,Nein,,Art & Lutherie Legacy Bourbon Burst CW Q1T,549.0,"43,70 mm",Ja,1 Stück,12918
95,462292,Concert,Kirsche,,Nein,"Fichte, Massiv",März 2019,Burst,Palisander,Art & Lutherie,Nein,Nein,,Art & Lutherie Legacy Bourbon Burst Q1T,519.0,"43,70 mm",Ja,1 Stück,30365
96,399576,Orchestra,Mahagoni,,Nein,"Fichte, Massiv",Oktober 2016,Sunburst,Tech Wood,Tanglewood,Nein,Nein,,Tanglewood TWCR O,139.0,"43,00 mm",Nein,1 Stück,35374
97,348948,Folk,Mahagoni,,Ja,"Fichte, Massiv",Januar 2015,Natur,Palisander,Framus,Nein,Nein,,Framus FF-14SVCE VNT Legacy Series,459.0,"45,00 mm",Ja,1 Stück,39229
98,464874,Concert,Kirsche,,Nein,"Fichte, Massiv",,Braun,Palisander,Art & Lutherie,Nein,Nein,,Art & Lutherie Legacy Havana Brown Q-Discrete,598.0,"43,70 mm",Ja,1 Stück,81932
99,458114,Mini Jumbo,Mahagoni,,Nein,Mahagoni,Januar 2019,Vintage,Blackwood,Harley Benton,Nein,Nein,,Harley Benton Delta Blues MJCE Set 1,109.0,"43,00 mm",Ja,1 Stück,4217
100,444901,Parlor,Agathis,,Nein,Agathis,September 2018,Blau,Palisander,Gretsch,Nein,Nein,,Gretsch G9510 Jim Dandy GSR,189.0,"43,00 mm",Nein,1 Stück,24326
101,466757,Parlor,Agathis,,Nein,Agathis,Mai 2019,Blau,Palisander,Gretsch,Nein,Nein,,Gretsch G9510 Jim Dandy GSR B-Stock,175.0,"43,00 mm",Nein,1 Stück,98179
102,379089,Concert,Mahagoni,,Nein,Mahagoni,Dezember 2016,Sunburst,Ebenholz,Guild,Nein,Ja,,Guild M-20E ATB,1545.0,"44,45 mm",Ja,1 Stück,29193
103,453975,Folk,Mahagoni,,Ja,"Mahagoni, massiv",Januar 2019,Natur,Eboncore,Tanglewood,Nein,Nein,,Tanglewood TWU SFCE,269.0,"43,00 mm",Ja,1 Stück,38148
104,460884,Travel,Pau Ferro,,Nein,"Fichte, Massiv",April 2019,Natur,Ovangkol,Journey Instruments,Ja,Nein,,Journey Instruments OF420,699.0,"44,50 mm",Ja,1 Stück,6048
